material_number,material_description,our_cost
IC3500A452L208,DIODE BLOCK,50.29
138A1031P2,TOGL-SW DPST 15A 125,8.14
138A1067P24,RHEOSTAT 150W  4000,110.91
36B605787ACG06,2PL CABLE W/LCC CARD,62.26
144A4918P24,LAMP,1.96
144A4984P25,POT-3W-5K-OHMS,93.44
IC2940UB311A00,SELECTOR-SWITCH,43.28
68A7647P42,DIODE,101.75
138A1016P2,RHEO KNOB HANDWHEEL,42.44
138A1067P27,RHEOSTAT 150W  1000H,45.39
119A4213P8,FUSE-30-AMP-250V,5.06
IS200ADIIH1A,AC/DC2000 AUX D2K IS,550.57
119A4213P32,FUSE-25-AMP-250V,4.23
104X215CA007,FAN MUFFIN REPLACEMENT,137.43
104X215CA006,SPRITE FAN  24 VDC  35CFM,83.21
DS200PCCAG6A,DC2000 PWR CONN,262.94
36B605787ACG08A,2PL  CRIMP IMCP-3TB-KDCC-ADCI,194.90
IS200AVGBG1A,GATE DRIVER AMP,329.39
IC3600KMRE9,MEDIUM-DUTY-RELAY,452.23
1200SA004AY02PA,FUSE ASM. - 5 FUSES,7189.28
125A4423P6,LAMP MIN BUY 50,1.22
36B605787ACG08,CBL 2PL W/SLCC NO CRIMP,30.83
IC3600SDCA1,CARD DIO,379.16
68A7110P100F,TRIM-POT-.75-W,298.79
1200SA004AW0101,BUS ASM. POS.,165.00
104X138AA002,POTENTIOMETER,15.96
104X125AA152,600V  35A MDA3506 RECTIFIER,2.34
531X121PCRALG1,DC300 SVSF1 4Q PWR C GMI,2118.88
IS200ITBAG1A,BD DC DRIVE TERMINAL ,175.66
36C774524AAG202,8PL CABLE,35.33
36C774524AAG36,3 PL CABLE,40.72
104X125DA152,1400V 1400A,178.36
104X125DB008,SCR CLAMP,165.00
104X125DC053,DUAL SCR MODULE 1400V 250A,125.56
IS200ISBEH1A,INSYNC BUS EXTENDER,1050.71
173C9250G2,KEYPAD  HOLDER & OVE,123.09
IS200ISBEH2A,INSYNC BUS EXTENDER,2112.88
104X125DA151,SCR-1400V-850A MIN BUY 4,126.93
104X125DC021,DUAL SCR MODULE 1200V  250A,182.75
104X125DA153,1400V 1600A SCR PRESSPAK,124.59
104X125AD012,MOV 130V RMS  184V PK.,1.07
IS200RCSAG1A,BD 1800A RC SNUBBER,169.71
246B8293ADG01,CBL  2PL W/CSSA SLCC,50.36
IS200SCTTG1A,STATIC CHARGE TRANSF,2289.63
104X125AD018,MOV 510V RMS/700J/675VDC,26.93
104X125AD011,510V RMS 721V PEAK,50.01
36C774524AAG35,"CABLE 1-PL  ""DC_GX""",18.32
68A7035P392G,R.25W 392K (OR WH RD,1.96
573A310P6B,MICROPOT-5W-500-OHMS,105.54
104X125DA097,SCR RECT MIN BUY 3,212.08
104X125DA096,SCR,30.83
104X125DA090,SCR RECT,18.91
IS200IVFBG1A,BD PWM-3 CURRETN FEEDBACK,2575.76
IS200PMCIH1A,BD  IS BUS PMC,795.02
SELA36AT0030ADA,CB 30A 600V SPECTRA GE DRIVES,378.18
104X138AA023,POTENTIOMETER,67.13
36B605796AAG21,ARC-PL CABLE 'G',84.55
104X125AA 104,DIODE 400A 1200V HALFWAVE,41.34
531X111PSHAWG2,PWR SUPP DC300 SVPS1,2270.12
